index,Year,Quarter,LocationAbbr,LocationDesc,HealthTopic,PolicyTopic,DataSource,Setting,Title,Status,Citation,StatusAltValue
2127,2009,1,NY,New York,Nutrition,Food Assistance Programs,DNPAO,Community,Supplemental Nutrition Assistance Program,Dead,A7152,3
2128,2009,1,NY,New York,Nutrition,Farm Direct Foods,DNPAO,School/After School,School Lunch Program,Dead,S356,3
2129,2011,1,IN,Indiana,Nutrition,Fruits and Vegetables,DNPAO,School/After School,Farm to School Plan,Dead,H1305,3
2130,2009,1,NJ,New Jersey,Obesity,Appropriations,DNPAO,Community,Smart Housing Incentive Act,Dead,A3632,3
2131,2011,1,IL,Illinois,Nutrition,Medical Care,DNPAO,Community,Tax Increment Allocation Redevelopment Act,Dead,H1613,3
2132,2009,1,TX,Texas,Obesity,Portion Size,DNPAO,School/After School,Texas Public School Nutrition Policy (TPSNP),Enacted,R15052,1
2133,2012,1,NY,New York,Obesity,Initiatives and Programs,DNPAO,Early Care and Education,Relates to Obesity Prevention<br>,Dead,S6423,3
2134,2009,1,MS,Mississippi,Obesity,Appropriations,DNPAO,School/After School,"Accreditation Policies, Performance/Process Standards",Enacted,R12058,1
2135,2009,1,MA,Massachusetts,Physical Activity,Health Impact Assessment,DNPAO,School/After School,Transportation System Reform,Dead,S13,3
2136,2011,1,NC,North Carolina,Physical Activity,Task Forces/Councils,DNPAO,Community,Government Reduction Act,Enacted,S593,1
2137,2010,1,VA,Virginia,Nutrition,Nutrition Standards,DNPAO,School/After School,Competitive Foods,Dead,S210,3
2138,2012,1,GA,Georgia,Physical Activity,Access to Recreational Opportunities,DNPAO,School/After School,An Act Related to Torts<br>,Dead,S484,3
2139,2011,1,NY,New York,Nutrition,Farm Direct Foods,DNPAO,Restaurant/Retail,Processing of Homemade Baked Goods,Dead,S2370,3
2140,2010,1,NY,New York,Physical Activity,Public Safety,DNPAO,Community,Downstate Revitalization Fund Program,Enacted,R21505,1
2141,2013,4,CA,California,Nutrition,Nutrition Standards,DNPAO,School/After School,School Nutrition,Enacted,AB626,1
2142,2010,1,WI,Wisconsin,Nutrition,Food Security,DNPAO,Restaurant/Retail,Nutritional Information,Dead,A664,3
2143,2010,1,NY,New York,Obesity,Appropriations,DNPAO,School/After School,New York City School Construction Authority,Dead,S7033,3
2144,2011,1,MO,Missouri,Nutrition,Appropriations,DNPAO,Community,Sewer Service Lines Failure Repair Fee,Dead,H889,3
2145,2011,1,RI,Rhode Island,Physical Activity,Disabilities,DNPAO,Community,Highways,Dead,H5886,3
2146,2007,1,VA,Virginia,Nutrition,Nutrition Standards,DNPAO,Medical and/or Hospital,Regulations for the Licensure of Hospice,Enacted,R8964,1
2147,2007,1,CA,California,Nutrition,Disparities/Equity,DNPAO,Community,Healthy Food Purchase Pilot Program,Enacted,A2726,1
2148,2013,1,CA,California,Physical Activity,Bicycling,DNPAO,Community,An Act Relating to the Environment,Introduced,SB731,0
2149,2011,1,MA,Massachusetts,Physical Activity,Physical Activity Requirements,DNPAO,Community,Environmental and Health Impact Reports,Dead,H1157,3
2150,2011,1,NC,North Carolina,Obesity,Appropriations,DNPAO,Community,Government Reduction Act,Enacted,S593,1
2151,2009,1,VT,Vermont,Nutrition,Farmers Markets,DNPAO,Community,Competitive Grants Program,Dead,H346,3
2152,2004,1,NY,New York,Nutrition,Access to Healthy Foods,DNPAO,Community,An Act Making  Appropriations for the Support of  Government<br>,Enacted,S904,1
2153,2011,1,MI,Michigan,Nutrition,Task Forces/Councils,DNPAO,Community,Agriculture Industry,Dead,H4531,3
2154,2012,1,CA,California,Nutrition,Initiatives and Programs,DNPAO,School/After School,An Act Making Appropriations<br>,Dead,A1463,3
2155,2011,1,MO,Missouri,Nutrition,Appropriations,DNPAO,Community,Farm Machinery and Equipment Sales Tax,Dead,H36,3
2156,2011,1,IL,Illinois,Nutrition,Agriculture and Farming,DNPAO,Community,Appropriations to Agencies,Enacted,H3717,1
2157,2009,1,MS,Mississippi,Obesity,Health Insurance Coverage,DNPAO,Medical and/or Hospital,Medicaid,Dead,H807,3
2158,2011,1,MS,Mississippi,Nutrition,Farmers Markets,DNPAO,Community,Farmers Markets,Dead,S2926,3
2159,2011,1,MD,Maryland,Nutrition,Farm Direct Foods,DNPAO,Community,Organic and Locally Grown Agricultural Products,Dead,S939,3
2160,2011,1,FL,Florida,Obesity,Body Mass Index (BMI),DNPAO,Community,Neighborhood Improvement Districts,Dead,H781,3
2161,2016,1,KY,Kentucky,Nutrition,Breastfeeding,DNPAO,Community,Breastfeeding and benefits,Enacted,SCR9,1
2162,2007,1,TX,Texas,Nutrition,Disparities/Equity,DNPAO,Community,An Act Appropriating Money,Enacted,H1,1
2163,2011,1,TX,Texas,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Jefferson County Management District,Enacted,H2296,1
2164,2011,1,FL,Florida,Obesity,Incentives,DNPAO,Medical and/or Hospital,State Employee Health Insurance Benefits,Dead,S2102,3
2165,2011,1,IL,Illinois,Nutrition,Appropriations,DNPAO,Community,Legislative Resolution,Enacted,SR214,1
2166,2012,1,OK,Oklahoma,Nutrition,Food Security,DNPAO,Community,Resolution,Enacted,HR1051,1
2167,2009,1,NM,New Mexico,Nutrition,Liability and Indemnity,DNPAO,Community,Las Vegas Special Olympics Funding,Dead,H711,3
2168,2004,1,NY,New York,Nutrition,Food Assistance Programs,DNPAO,Community,An Act Making Appropriations,Enacted,S6054,1
2169,2009,1,NY,New York,Obesity,Appropriations,DNPAO,Community,New York City,Dead,A5523,3
2170,2011,1,CA,California,Obesity,Front of Package Labeling,DNPAO,Community,Public Postsecondary Education: Joint-Use Facilities,Dead,A405,3
2171,2011,1,MT,Montana,Physical Activity,Appropriations,DNPAO,Community,Parks and Recreational Resources,Dead,H628,3
2172,2010,1,NJ,New Jersey,Nutrition,Food Security,DNPAO,School/After School,School Food and Beverage Nutritional Information,Dead,S1373,3
2173,2014,1,MO,Missouri,Nutrition,Incentives,DNPAO,Restaurant/Retail,Sales Tax Exemption and SNAP use at Farmers Markets,Introduced,SB850,0
2174,2008,1,NY,New York,Nutrition,Food Assistance Programs,DNPAO,Community,An Act Making Appropriation<br>,Enacted,S6803,1
2175,2010,1,SD,South Dakota,Physical Activity,Pedestrians/Walking,DNPAO,Community,Bicycle Passing Restrictions,Dead,S70,3
2176,2011,1,HI,Hawaii,Nutrition,Liability and Indemnity,DNPAO,Community,Affordable Housing,Dead,S12,3
2177,2009,1,MT,Montana,Physical Activity,Bicycling,DNPAO,Community,Alternative Transportation,Dead,S199,3
2178,2009,1,NY,New York,Nutrition,Farmers Markets,DNPAO,Community,Appropriations for Support of Government,Dead,S16v,3
2179,2010,1,MN,Minnesota,Nutrition,Appropriations,DNPAO,Community,State Government,Dead,H3711,3
2180,2007,1,NC,North Carolina,Physical Activity,"Parks, Recreation and Trails",DNPAO,Community,Appropriations Act of 2007,Enacted,H2437,1
2181,2016,2,FL,Florida,Nutrition,Disparities/Equity,DNPAO,School/After School,Healthy Food Financing Initiative,Enacted,CSCSCSHB153,1
2182,2013,1,TX,Texas,Nutrition,Access to Healthy Foods,DNPAO,Community,An Act Relating to the Creation of A Regional Food Economy and Food Access Task Force,Introduced,HB2686,0
2183,2009,1,IA,Iowa,Obesity,Task Forces/Councils,DNPAO,Restaurant/Retail,Local Food and Farm Task Force,Dead,S404,3
2184,2009,1,CO,Colorado,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Low Power Self Propelled Vehicles,Enacted,H1026,1
2185,2011,1,TX,Texas,Nutrition,Access to Healthy Foods,DNPAO,Early Care and Education,Child Care Facilities,Dead,H2212,3
2186,2009,1,MT,Montana,Nutrition,Appropriations,DNPAO,Community,Produce Inspection Requirements,Dead,D622,3
2187,2007,1,RI,Rhode Island,Physical Activity,Physical Activity Requirements,DNPAO,School/After School,Student Investment Initiative,Enacted,H7009,1
2188,2010,1,MS,Mississippi,Nutrition,Incentives,DNPAO,Restaurant/Retail,Sweetened Beverages and Syrups Tax Law,Dead,H1606,3
2189,2007,1,NC,North Carolina,Nutrition,Agriculture and Farming,DNPAO,School/After School,Appropriations Act of 2007,Enacted,H2437,1
2190,2011,1,NC,North Carolina,Nutrition,Incentives,DNPAO,School/After School,Local Schools and Fitness Testing,Dead,S400,3
2191,2004,1,IL,Illinois,Nutrition,Liability and Indemnity,DNPAO,Restaurant/Retail,Provides Immunity from Liability for Obesity,Enacted,HB3981,1
2192,2015,2,WA,Washington,Physical Activity,Appropriations,DNPAO,Community,An act allowing the use of lodging taxes for financing workforce housing.,Introduced,HB1223,0
2193,2012,4,PA,Pennsylvania,Nutrition,Food Security,DNPAO,Community,Hunger Action Month,Enacted,SR347,1
2194,2013,1,DE,Delaware,Nutrition,Breastfeeding,DNPAO,Medical and/or Hospital,In Support of Nutrition Education and Outreach for Moms and Babies,Enacted,HCR6,1
2195,2009,1,NY,New York,Nutrition,Appropriations,DNPAO,Community,Department of Health SEED Program,Dead,A6598,3
2196,2009,1,HI,Hawaii,Obesity,Body Mass Index (BMI),DNPAO,Community,Mixed use Transit Oriented Joint Development,Dead,S1154,3
2197,2007,1,TN,Tennessee,Nutrition,Appropriations,DNPAO,School/After School,Department of Education,Enacted,S3341,1
2198,2009,1,WV,West Virginia,Nutrition,Farm Direct Foods,DNPAO,School/After School,Healthy Beverages,Dead,H2588,3
2199,2009,1,LA,Louisiana,Nutrition,Appropriations,DNPAO,Community,American Recovery Reinvestment Act,Dead,S3,3
2200,2009,1,WA,Washington,Obesity,Food Restrictions,DNPAO,Restaurant/Retail,Meat and Poultry Inspection Program,Dead,H1613,3
2201,2011,1,NY,New York,Obesity,Appropriations,DNPAO,Restaurant/Retail,Nutrition Standards for Restaurants,Dead,A7662,3
2202,2012,1,MA,Massachusetts,Obesity,Health Insurance Coverage,DNPAO,School/After School,An Act Improving the Quality of Health Care<br>,Dead,S2262,3
2203,2011,1,IL,Illinois,Physical Activity,Pedestrians/Walking,DNPAO,Community,Complete Streets Act,Dead,H3047,3
2204,2011,1,TN,Tennessee,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,An Act Relating to the Construction of Facilities and Trails <br>,Enacted,H2204,1
2205,2009,1,CT,Connecticut,Physical Activity,Bicycling,DNPAO,Community,Bicycle and Pedestrian Access,Enacted,S735,1
2206,2009,1,WA,Washington,Obesity,Food Restrictions,DNPAO,Community,Supplemental Operating Appropriations,Dead,H1243,3
2207,2015,1,HI,Hawaii,Physical Activity,Bicycling,DNPAO,Community,Surcharges for Public Projects,Dead,HB991,3
2208,2010,1,OK,Oklahoma,Nutrition,Incentives,DNPAO,Restaurant/Retail,Healthy Foods,Dead,H2955,3
2209,2015,1,MN,Minnesota,Physical Activity,Built Environment and Street-Scale Design,DNPAO,School/After School,The Active Transportation Competitive Grant Program,Introduced,HB600,0
2210,2004,1,MO,Missouri,Obesity,Incentives,DNPAO,Restaurant/Retail,Provides Immunity from Liability for Obesity,Enacted,HB1115,1
2211,2013,1,NY,New York,Nutrition,Disparities/Equity,DNPAO,Restaurant/Retail,Food Retail Establishment Subsidization for Healthy Communities (FRESH Communities) Act,Introduced,SB2425,0
2212,2010,1,CA,California,Obesity,Health Insurance Coverage,DNPAO,Community,Education: Physical Education,Dead,A2705,3
2213,2005,1,NC,North Carolina,Nutrition,Appropriations,DNPAO,School/After School,Child Nutrition Standards,Enacted,S961,1
2214,2010,1,MA,Massachusetts,Nutrition,Agriculture and Farming,DNPAO,School/After School,School Nutrition,Enacted,H4459,1
2215,2009,1,DC,District of Columbia,Obesity,Appropriations,DNPAO,Community,View 14 Economic Development,Enacted,B167,1
2216,2010,1,MD,Maryland,Obesity,Appropriations,DNPAO,Community,Safe and Earth Friendly Roadway Act,Dead,H169,3
2217,2011,1,VT,Vermont,Obesity,Appropriations,DNPAO,Restaurant/Retail,Blue Ribbon Tax Structure Commission,Dead,H243,3
2218,2011,1,NY,New York,Nutrition,Initiatives and Programs,DNPAO,Work Place,An Act Providing an Occupational Wellness Program Tax Credit for Businesses<br>,Dead,S4154,3
2219,2011,1,FL,Florida,Obesity,Health Insurance Coverage,DNPAO,Community,Chronic Diseases<br>,Dead,S526,3
2220,2015,2,LA,Louisiana,Nutrition,Food Security,DNPAO,Community,Resolution to create a task force to study food deserts,Enacted,HCR205,1
2221,2011,1,FL,Florida,Obesity,Appropriations,DNPAO,Community,Bicycle Safety,Dead,S118,3
2222,2011,1,FL,Florida,Nutrition,Medical Care,DNPAO,School/After School,Growth Management,Dead,S1512,3
2223,2009,1,WA,Washington,Physical Activity,Appropriations,DNPAO,Community,Transportation Funding,Enacted,H1978,1
2224,2005,1,HI,Hawaii,Nutrition,Agriculture and Farming,DNPAO,School/After School,Agribusiness Development Corporation,Enacted,H2179,1
2225,2007,1,MS,Mississippi,Nutrition,Nutrition Standards,DNPAO,School/After School,Physical Education and Health Education Programs,Enacted,S2369,1
2226,2011,1,CA,California,Obesity,Appropriations,DNPAO,Community,Schools and Local Public Safety Protection Act,Dead,SCA1a,3
2227,2010,1,CA,California,Nutrition,Agriculture and Farming,DNPAO,Restaurant/Retail,Farmers' Markets: Electronic Benefit Transfers,Enacted,A537,1
2228,2005,1,CA,California,Obesity,Food Restrictions,DNPAO,Community,Senate Concurrent resolution                 <br>,Enacted,SCR90,1
2229,2010,1,NY,New York,Obesity,Food Restrictions,DNPAO,Restaurant/Retail,Commissioner of Economic Development,Vetoed,S6673,2
2230,2012,3,ME,Maine,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Low-Income Housing Tax Credit Rule,Enacted,9964,1
2231,2010,1,MS,Mississippi,Nutrition,Medical Care,DNPAO,Community,Bicycles,Dead,H1452,3
2232,2009,1,TX,Texas,Nutrition,Access to Healthy Foods,DNPAO,Community,Nutritious Foods,Enacted,H1622,1
2233,2011,1,HI,Hawaii,Nutrition,Task Forces/Councils,DNPAO,Community,Support for Home Organic Produce Cooperatives,Dead,HCR301,3
2234,2011,1,MN,Minnesota,Obesity,Appropriations,DNPAO,Community,Health,Dead,H905,3
2235,2005,1,NY,New York,Obesity,Initiatives and Programs,DNPAO,Early Care and Education,An Act to Amend the Public Health Law<br>,Enacted,S3668,1
2236,2011,1,VT,Vermont,Obesity,Incentives,DNPAO,Restaurant/Retail,Blue Ribbon Tax Structure Commission,Dead,H243,3
2237,2013,1,ID,Idaho,Nutrition,Access to Healthy Foods,DNPAO,Medical and/or Hospital,Alcohol and Substance Use Disorders Treatment and Recovery Support Services Facilities and Programs<br>,Enacted,8847,1
2238,2002,1,MA,Massachusetts,Nutrition,Appropriations,DNPAO,Community,An Act Making Appropriations,Enacted,H5300,1
2239,2012,1,FL,Florida,Physical Activity,Pedestrians/Walking,DNPAO,Community,An Act Relating to Growth Management,Enacted,H7081,1
2240,2010,1,AZ,Arizona,Nutrition,Farm Direct Foods,DNPAO,Early Care and Education,Child Care Facilities Licensing Requirements,Enacted,R4719,1
2241,2013,1,MN,Minnesota,Physical Activity,Bicycling,DNPAO,Community,Appropriating Monies for Transportation,Introduced,SB1173,0
2242,2013,1,HI,Hawaii,Nutrition,School Nutrition,DNPAO,School/After School,An Act Relating to School Meals,Introduced,SB609,0
2243,2006,1,FL,Florida,Nutrition,Food Assistance Programs,DNPAO,School/After School,Healthy Lifestyles,Enacted,S1324,1
2244,2010,1,OK,Oklahoma,Nutrition,Access to Healthy Foods,DNPAO,Community,Healthy Foods,Dead,H2955,3
2245,2010,1,VA,Virginia,Nutrition,Nutrition Standards,DNPAO,Community,Food Standards for Agency Meals,Dead,H423,3
2246,2003,1,TN,Tennessee,Nutrition,Vending,DNPAO,School/After School,Education,Enacted,HB2783,1
2247,2010,1,MA,Massachusetts,Physical Activity,Physical Activity Requirements,DNPAO,Medical and/or Hospital,Fiscal Year 2011 Budget,Enacted,H4800,1
2248,2010,1,MS,Mississippi,Nutrition,Incentives,DNPAO,Restaurant/Retail,Sales Tax on Food,Dead,H59,3
2249,2009,1,WA,Washington,Obesity,Appropriations,DNPAO,School/After School,Student Transportation Funding,Dead,H2041,3
2250,2009,1,LA,Louisiana,Nutrition,Food Security,DNPAO,Community,Sales Tax Holiday,Dead,H25,3
2251,2010,1,NY,New York,Nutrition,Appropriations,DNPAO,Restaurant/Retail,Commissioner of Economic Development,Dead,A9545,3
2252,2011,1,NC,North Carolina,Nutrition,Sodium,DNPAO,Community,Heart Disease and Dietary Sodium Intake,Enacted,H670,1
2253,2011,1,TX,Texas,Nutrition,Point of Purchase Promotion,DNPAO,School/After School,High School Graduation Requirements and Disabilities,Enacted,H692,1
2254,2011,1,MN,Minnesota,Physical Activity,Task Forces/Councils,DNPAO,Restaurant/Retail,Stadiums,Dead,H1441,3
2255,2009,1,HI,Hawaii,Nutrition,Appropriations,DNPAO,Community,Biofuel Facilities,Dead,H2436,3
2256,2010,1,WA,Washington,Nutrition,Farm Direct Foods,DNPAO,Community,Washington Food Policy Forum,Vetoed,S6343,2
2257,2012,1,AL,Alabama,Nutrition,Access to Healthy Foods,DNPAO,Community,Certification of State Farmers' Markets<br>,Enacted,9059,1
2258,2010,1,CT,Connecticut,Nutrition,Farmers Markets,DNPAO,Restaurant/Retail,"Farms, Food and Jobs",Enacted,H5419,1
2259,2010,1,VA,Virginia,Nutrition,Farm Direct Foods,DNPAO,Community,State Grown Food Products,Dead,H398,3
2260,2011,1,NY,New York,Nutrition,Appropriations,DNPAO,School/After School,Sale of Certain Foods in Vending Machines,Dead,A6900,3
2261,2011,1,MN,Minnesota,Physical Activity,Public Transportation,DNPAO,Community,Transportation,Dead,H1310,3
2262,2009,1,MA,Massachusetts,Nutrition,Appropriations,DNPAO,Work Place,Wellness in the Workplace,Dead,S1262,3
2263,2014,2,VT,Vermont,Physical Activity,"Parks, Recreation and Trails",DNPAO,Community,Designating New Town and Growth Centers,Enacted,HB809,1
2264,2011,1,CT,Connecticut,Nutrition,Breastfeeding,DNPAO,Work Place,Employees Who Breastfeed Or Express Breast Milk,Dead,H5461,3
2265,2011,1,OR,Oregon,Obesity,Appropriations,DNPAO,Restaurant/Retail,The Oregon Food Policy Council,Dead,H2761,3
2266,2011,1,TN,Tennessee,Nutrition,Appropriations,DNPAO,Restaurant/Retail,Taxes,Dead,H897,3
2267,2011,1,NY,New York,Nutrition,Access to Healthy Foods,DNPAO,Community,Establishment of a Community Gardens  Task Force,Dead,A7479,3
2268,2011,1,NY,New York,Nutrition,Trans Fats,DNPAO,School/After School,Prohibiting the Sale of Certain Foods and Beverages,Dead,A6229,3
2269,2010,1,MO,Missouri,Nutrition,Appropriations,DNPAO,Community,Local Food Sales Permits,Dead,S1015,3
2270,2011,1,VA,Virginia,Obesity,Body Mass Index (BMI),DNPAO,Community,Fort Belvoir Improved Public Transportation Study,Enacted,SJR292,1
2271,2010,1,CO,Colorado,Nutrition,Appropriations,DNPAO,Community,Elim Candy Soda Sales Tax Exemption,Enacted,H1191,1
2272,2010,1,NY,New York,Nutrition,Appropriations,DNPAO,School/After School,Notice of Gluten Content in Foods,Dead,S7460,3
2273,2010,1,TN,Tennessee,Nutrition,Trans Fats,DNPAO,Community,Industrial Development,Dead,H3417,3
2274,2010,1,RI,Rhode Island,Nutrition,Farmers Markets,DNPAO,Community,Special Supplemental Nutrition Program,Enacted,R4080,1
2275,2008,1,NH,New Hampshire,Obesity,Food Restrictions,DNPAO,Community,Farmers Markets and Farm Stands,Dead,LSR86,3
2276,2009,1,VT,Vermont,Nutrition,Appropriations,DNPAO,Community,Soft Drinks Sales Tax,Dead,H149,3
2277,2011,1,WA,Washington,Physical Activity,Pedestrians/Walking,DNPAO,School/After School,Certain Public Facilities and Impact Fees,Dead,S5131,3
2278,2010,1,UT,Utah,Physical Activity,Public Transportation,DNPAO,Community,Public School Funding,Enacted,H166,1
2279,2010,1,HI,Hawaii,Nutrition,Incentives,DNPAO,Restaurant/Retail,General Excise Taxes on Snack Foods,Dead,S2239,3
2280,2011,1,LA,Louisiana,Nutrition,Access to Healthy Foods,DNPAO,Community,Senate,Enacted,SR13a,1
2281,2009,1,MA,Massachusetts,Nutrition,Appropriations,DNPAO,Community,Farmers Markets,Dead,SD979,3
2282,2011,1,MN,Minnesota,Physical Activity,Appropriations,DNPAO,Community,Capital Investment,Dead,H1050,3
2283,2011,1,CT,Connecticut,Obesity,Sugar Sweetened Beverages,DNPAO,School/After School,Sale of Soda in Public School Vending Machines,Dead,S164,3
2284,2012,1,HI,Hawaii,Nutrition,Incentives,DNPAO,Community,An Act Relating to Sustainability<br>,Dead,H1939,3
2285,2010,1,MA,Massachusetts,Nutrition,School Nutrition,DNPAO,School/After School,School Nutrition,Dead,H4919,3
2286,2010,1,HI,Hawaii,Obesity,Food Restrictions,DNPAO,Restaurant/Retail,Schools,Dead,S2814,3
2287,2011,1,WA,Washington,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Traffic School Costs,Enacted,H1473,1
2288,2011,1,FL,Florida,Physical Activity,Incentives,DNPAO,Work Place,State Employee Health Insurance Benefits,Dead,S2102,3
2289,2006,1,NJ,New Jersey,Physical Activity,"Parks, Recreation and Trails",DNPAO,Community,Recreational Land Development and Conservation Purposes,Enacted,A3346,1
2290,2009,1,IL,Illinois,Nutrition,Appropriations,DNPAO,Community,Tax Acts,Dead,H4447,3
2291,2011,1,HI,Hawaii,Nutrition,Food Assistance Programs,DNPAO,Community,General Excise Tax,Dead,S852,3
2292,2009,1,WV,West Virginia,Nutrition,Agriculture and Farming,DNPAO,Community,Farmers Markets,Dead,SCR74,3
2293,2010,1,NJ,New Jersey,Obesity,Menu Labeling,DNPAO,Community,Monmouth Economic Revitalization Authority Act,Dead,A597,3
2294,2009,1,RI,Rhode Island,Nutrition,Farmers Markets,DNPAO,Community,Special Supplemental Nutrition Program,Enacted,R3821,1
2295,2011,1,MA,Massachusetts,Obesity,Appropriations,DNPAO,Community,Leo Martin Golf Course,Dead,S1583,3
2296,2010,1,ME,Maine,Nutrition,Appropriations,DNPAO,Restaurant/Retail,Maine Food Processing Grant Program,Enacted,R9535,1
2297,2009,1,KY,Kentucky,Nutrition,Breastfeeding,DNPAO,Work Place,Breastfeeding,Dead,H214,3
2298,2010,1,LA,Louisiana,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Pubic Use Near Levees,Enacted,H494,1
2299,2011,1,VT,Vermont,Nutrition,Correctional Facilities Farms Programs,DNPAO,Community,Sugar-Sweetened Beverages,Dead,H151,3
2300,2011,1,MN,Minnesota,Physical Activity,Built Environment and Street-Scale Design,DNPAO,School/After School,Capital Improvements,Dead,H761,3
2301,2011,1,NY,New York,Physical Activity,Bicycling,DNPAO,Community,Surcharge for Parking in a Bicycle Lane,Dead,S3938,3
2302,2005,1,AR,Arkansas,Nutrition,Access to Healthy Foods,DNPAO,Community,Department of Finance and Administration,Enacted,H1741,1
2303,2011,1,MN,Minnesota,Nutrition,Liability and Indemnity,DNPAO,Community,Corporate Franchise and Individual Income Tax,Dead,H42,3
2304,2012,4,CA,California,Physical Activity,Zoning/Land Use,DNPAO,School/After School,Qualified Residential Rental Projects,Enacted,21480,1
2305,2003,1,MA,Massachusetts,Nutrition,Liability and Indemnity,DNPAO,School/After School,Transportation Modernization,Enacted,HB4771,1
2306,2009,1,MD,Maryland,Obesity,Appropriations,DNPAO,Community,Smart Growth,Dead,H1116,3
2307,2010,1,MI,Michigan,Physical Activity,Public Transportation,DNPAO,Community,Transit Facilities,Enacted,H5998,1
2308,2009,1,MO,Missouri,Obesity,Food Restrictions,DNPAO,School/After School,Agriculture and Local Foods,Dead,H1080,3
2309,2009,1,NE,Nebraska,Obesity,Appropriations,DNPAO,School/After School,Bonds,Enacted,R1685,1
2310,2009,1,AL,Alabama,Obesity,Food Restrictions,DNPAO,Community,State Branch Appropriations,Enacted,H746,1
2311,2006,1,VA,Virginia,Nutrition,Farm Direct Foods,DNPAO,School/After School,Farm to School Website,Enacted,S797,1
2312,2011,1,NY,New York,Nutrition,Fruits and Vegetables,DNPAO,School/After School,Prohibiting the Sale of Certain Foods and Beverages,Dead,A6229,3
2313,2011,1,NY,New York,Obesity,Appropriations,DNPAO,Community,Department of Transportation Survey,Dead,A643,3
2314,2010,1,CO,Colorado,Obesity,Incentives,DNPAO,Community,Penalty Interest,Enacted,R10514,1
2315,2009,1,NY,New York,Nutrition,Breastfeeding,DNPAO,Medical and/or Hospital,Breastfeeding Insurance Coverage,Dead,A3392,3
2316,2011,1,NY,New York,Nutrition,School Nutrition,DNPAO,Work Place,Governors Council on Physical Fitness,Dead,A7323,3
2317,2008,1,CA,California,Obesity,Appropriations,DNPAO,Community,Water Supply Planning,Dead,A55,3
2318,2009,1,PA,Pennsylvania,Obesity,Appropriations,DNPAO,Community,Parks,Dead,S185,3
2319,2010,1,CO,Colorado,Obesity,Appropriations,DNPAO,School/After School,Boces School Food Program,Enacted,H1335,1
2320,2009,1,RI,Rhode Island,Nutrition,Incentives,DNPAO,Community,Taxation,Dead,H5548,3
2321,2014,3,DC,District of Columbia,Nutrition,Farm Direct Foods,DNPAO,Work Place,Workplace Wellness Act and Healthy Tots Act of 2014,Enacted,B750,1
2322,2011,1,NV,Nevada,Physical Activity,Pedestrians/Walking,DNPAO,School/After School,Reckless Driving,Enacted,A328,1
2323,2011,1,TN,Tennessee,Nutrition,Incentives,DNPAO,Restaurant/Retail,Taxes,Dead,H897,3
2324,2010,1,MD,Maryland,Obesity,Appropriations,DNPAO,Community,Blue Ribbon Commission,Enacted,H710,1
2325,2003,1,NM,New Mexico,Nutrition,Trans Fats,DNPAO,Community,State Parks Division Fee Schedule,Enacted,HM18,1
2326,2010,1,OR,Oregon,Physical Activity,Public Transportation,DNPAO,Community,Multimodal Transportation Fund Program,Enacted,R32193,1
2327,2011,1,HI,Hawaii,Nutrition,Access to Healthy Foods,DNPAO,Restaurant/Retail,Agriculture,Dead,H1570,3
2328,2011,1,HI,Hawaii,Nutrition,Farm Direct Foods,DNPAO,School/After School,School Meals,Dead,HR194,3
2329,2010,1,MN,Minnesota,Physical Activity,Public Transportation,DNPAO,Community,Capital Improvements,Enacted,H2700,1
2330,2010,1,IL,Illinois,Physical Activity,School Siting,DNPAO,School/After School,Early Education Transportation,Dead,H4967,3
2331,2009,1,MN,Minnesota,Physical Activity,Pedestrians/Walking,DNPAO,Community,Environment,Dead,S549,3
2332,2003,1,NY,New York,Nutrition,Food Assistance Programs,DNPAO,Community,An Act Making Appropriations,Enacted,A2103,1
2333,2011,1,CA,California,Nutrition,Medical Care,DNPAO,Community,Vehicles: Traffic Control Device: Standards: Committee,Dead,A345,3
2334,2009,1,MO,Missouri,Nutrition,Access to Healthy Foods,DNPAO,School/After School,Agriculture and Local Foods,Dead,H1080,3
2335,2010,1,NJ,New Jersey,Obesity,Appropriations,DNPAO,Community,State Budget,Dead,A3000,3
2336,2013,1,WA,Washington,Physical Activity,Appropriations,DNPAO,Community,An Act Relating to the Capital Budget (Senate Version),Introduced,5035,0
2337,2010,1,OK,Oklahoma,Nutrition,Appropriations,DNPAO,Community,Public Health,Enacted,SR76,1
2338,2004,1,VA,Virginia,Obesity,Appropriations,DNPAO,School/After School,Dillard,Enacted,HB1014,1
2339,2010,1,VT,Vermont,Nutrition,Agriculture and Farming,DNPAO,Restaurant/Retail,Farmers Market,Enacted,H725,1
2340,2009,1,WA,Washington,Obesity,Appropriations,DNPAO,Community,Greenhouse Gas Emissions,Dead,S5687,3
2341,2012,3,MA,Massachusetts,Physical Activity,Zoning/Land Use,DNPAO,Community,Infrastructure Investment,Dead,H4352,3
2342,2013,1,NM,New Mexico,Nutrition,Appropriations,DNPAO,Community,An Act Making General Appropriations,Introduced,HB11,0
